"latitude","longitude"
"-9.8253759","-66.8864794"
"-10.9426919","-69.5745747"
"-11.0069405","-68.742604"
"-9.8227403","-67.9475283"
"-10.5609474","-67.6903366"
"-7.6649023","-72.6503611"
"-11.0166536","-68.733681"
"-8.1706522","-70.3582319"
"-9.4343554","-71.8845394"
"-7.6222509","-72.8923397"
"-8.8734112","-69.2801804"
"-8.9413533","-72.7925412"
"-10.2673205","-67.1884362"
"-9.5763223","-67.5508055"
"-8.2693522","-72.7445401"
"-9.9739989","-67.807568"
"-7.7303724","-72.6514392"
"-9.4333575","-70.4935352"
"-9.0672055","-68.6576716"
"-10.1479684","-67.731961"
"-8.1356236","-70.7649772"
"-10.6359712","-68.4945865"
"-9.2540237","-37.9448721"
"-9.6849871","-36.3066649"
"-9.7516401","-36.6604257"
"-9.5075462","-36.0233674"
"-9.4161691","-35.5091373"
"-9.8310124","-35.9084699"
"-9.6652621","-37.1324633"
"-9.5869533","-36.4836131"
"-9.8096019","-37.2803496"
"-9.6420399","-36.2198301"
"-9.3996835","-36.9921129"
"-9.3930513","-36.1525364"
"-8.8503863","-35.5644082"
"-9.7795186","-36.3503333"
"-9.7819444","-36.3508333"
"-9.133333","-37.5"
"-9.4112155","-36.0736308"
"-9.4733306","-37.380241"
"-9.2559553","-36.2978724"
"-9.6358875","-36.584348"
"-8.9135846","-35.7212835"
"-9.6392133","-35.8073539"
"-10.1335061","-36.1760813"
"-9.6176742","-36.7676104"
"-9.3863935","-37.9968347"
"-9.3800983","-37.1017798"
"-9.3850287","-36.7586161"
"-9.8972481","-36.677691"
"-10.293517","-36.3122925"
"-9.2726509","-35.7238669"
"-8.9757848","-35.9300162"
"-9.5457518","-36.6708906"
"-10.1203085","-36.6606941"
"-9.2173886","-37.7492426"
"-9.6292188","-37.2066238"
"-8.8416513","-35.4591854"
"-9.0879131","-35.259205"
"-9.6485021","-37.0044403"
"-9.1165439","-35.7375878"
"-8.9286048","-35.5747504"
"-9.9039603","-36.4666703"
"-9.8303166","-36.7382644"
"-9.7379732","-36.5031244"
"-9.6662515","-35.7350983"
"-9.5325014","-36.990847"
"-9.4495315","-36.3881323"
"-9.0127107","-35.2212616"
"-9.2363491","-37.3499455"
